Subject,Number,Course Title
AAS,100,Intro Asian American Studies
AAS,246,Asian American Youth in Film
AAS,287,Food and Asian Americans
AAS,370,"Immigration, Law, and Rights"
ABE,100,Intro Agric & Biological Engrg
ABE,199,Water in the Global Environ
ABE,223,ABE Principles: Machine Syst
ABE,224,ABE Principles: Soil & Water
ABE,430,Project Management
ABE,436,Renewable Energy Systems
ABE,488,Bioprocessing Biomass for Fuel
ABE,498,Eng Design for Solar SmartHome
ACCY,200,Fundamentals of Accounting
ACCY,201,Accounting and Accountancy I
ACCY,202,Accounting and Accountancy II
ACCY,301,Atg Measurement & Disclosure
ACCY,302,Decision Making for Atg
ACCY,303,Atg Institutions and Reg
ACCY,304,Accounting Control Systems
ACCY,312,Principles of Taxation
ACCY,410,Advanced Financial Reporting
ACCY,415,Auditing Stds and Practice
ACCY,451,Advanced Income Tax Problems
ACCY,500,"Atg Measuremnt, Rpting & Cntrl"
ACCY,501,Accounting Analysis I A
ACCY,501,Accounting Analysis I B
ACCY,501,Accounting Analysis I
ACCY,502,Accounting Analysis II
ACCY,504,Auditing A
ACCY,504,Auditing B
ACCY,505,Federal Taxation
ACCY,505,Federal Taxation A
ACCY,505,Federal Taxation B
ACCY,506,Advanced Financial Reporting
ACCY,510,Financial Reporting Standards
ACCY,512,Data Analytics for Mgmt Acctg
ACCY,515,Auditing & Assurance Standards
ACCY,517,Financial Statement Analysis
ACCY,518,Financial Statement Fraud
ACCY,551,Corporate Income Taxation
ACCY,556,Tax Research
ACCY,569,Data Driven Decisions in Acctg
ACCY,570,Data Analytics Foundations
ACE,100,Agr Cons and Resource Econ
ACE,161,Microcomputer Applications
ACE,199,Digital Mktg and Social Media
ACE,210,Environmental Economics
ACE,222,Agricultural Marketing
ACE,240,Personal Financial Planning
ACE,251,The World Food Economy
ACE,261,Applied Statistical Methods
ACE,306,Food Law
ACE,341,Issues in Agribus Mkts & Mgmt
ACE,341,Issues in Cons Econ & Finance
ACE,341,Contemp Issue Comm Fin Plng
ACE,341,Issues in AgAccy and FinAg
ACE,345,Finan Decision Indiv Sm Bus
ACE,346,Tax Policy and Finan Planning
ACE,360,Spreadsheet Models & Applic
ACE,398,Intermediate App Micro Theory
ACE,398,App Stat Mthds & Data Anlytcs1
ACE,398,Risk Mngmt in Personal Fin Pla
ACE,406,Environmental Law
ACE,411,Environment and Development
ACE,427,Commodity Price Analysis
ACE,428,Commodity Futures and Options
ACE,432,Farm Management
ACE,435,Global Agribusiness Management
ACE,444,Finan Serv & Invest Plan
ACE,445,Intermediate Personal Fin Plan
ACE,455,Intl Trade in Food and Agr
ACE,562,Applied Regression Models I
ACE,564,Applied Regression Models II
ACE,592,Law and Regulation
ACES,101,Contemporary Issues in ACES
ACES,102,Intro Sustainable Food Systems
ACES,179,History of Ag in IL Since 1860
ACES,199,Learning HowTo Learn Boot Camp
ADV,150,Introduction to Advertising
ADV,270,Principles of Sales
ADV,281,Advertising Research Methods
ADV,283,Advertising and Brand Strategy
ADV,284,Consumer Insight
ADV,305,Digital ADV Content
ADV,310,Intro to Public Relations
ADV,311,Classic Campaigns
ADV,320,Sales Management
ADV,370,Sales and the Consumer
ADV,390,Content Creation
ADV,393,Advertising and Society
ADV,409,Media Entrepreneurship
ADV,410,Public Relations Strategies
ADV,460,Innovation in Advertising
ADV,483,Audience Analysis
ADV,498,The Sandage Project
AE,100,Intro to Aerospace Engineering
AE,199,Computer Aided Design
AE,199,"Design, Build, Fly"
AE,199,Introduction to Rocketry
AE,202,Aerospace Flight Mechanics
AE,311,Incompressible Flow
AE,312,Compressible Flow
AE,321,Mechs of Aerospace Structures
AE,323,Applied Aerospace Structures
AE,352,Aerospace Dynamical Systems
AE,353,Aerospace Control Systems
AE,402,Orbital Mechanics
AE,416,Applied Aerodynamics
AE,433,Aerospace Propulsion
AE,442,Aerospace Systems Design I
AE,460,Aerodynamics & Propulsion Lab
AE,483,UAV Navigation and Control
AFRO,100,Intro to African American St
AFRO,101,"Black America, 1619-Present"
AFRO,105,Black Literature in America
AFRO,243,Pan Africanism
AFRO,261,Intro to the African Diaspora
AFRO,378,Race and Revolutions
AFRO,411,African American Psychology
